3267;CC3
3453;D7D
3639;E37
3823;EEF
4005;FA5
4185;1059
4362;110A
4536;11B8
4705;1261
4870;1306
5030;13A6
5184;1440
5331;14D3
5472;1560
5606;15E6
5732;1664
5850;16DA
5960;1748
6061;17AD
6153;1809
6235;185B
6308;18A4
6371;18E3
6424;1918
6467;1943
6499;1963
6521;1979
6532;1984
6533;1985
6523;197B
6503;1967
6472;1948
6430;191E
6378;18EA
6317;18AD
6245;1865
6164;1814
6073;17B9
5973;1755
5864;16E8
5747;1673
5622;15F6
5489;1571
5349;14E5
5202;1452
5049;13B9
4890;131A
4726;1276
4557;11CD
4384;1120
4208;1070
4028;FBC
3846;F06
3662;E4E
3476;D94
3290;CDA
3104;C20
2919;B67
2734;AAE
2551;9F7
2371;943
2193;891
2019;7E3
1850;73A
1684;694
1524;5F4
1369;559
1221;4C5
1079;437
945;3B1
817;331
698;2BA
587;24B
485;1E5
392;188
309;135
234;EA
170;AA
116;74
72;48
38;26
15;F
3;3
1;1
9;9
28;1C
58;3A
98;62
149;95
209;D1
280;118
360;168
449;1C1
548;224
656;290
772;304
896;380
1028;404
1167;48F
1313;521
1465;5B9
1623;657
1787;6FB
1955;7A3
2128;850
2304;900
2483;9B3
2665;A69
2849;B21
3034;BDA
3220;C94
3407;D4F
3592;E08
3777;EC1
3960;F78
4141;102D
4319;10DF
4493;118D
4663;1237
4829;12DD
4990;137E
5146;141A
5295;14AF
5437;153D
5573;15C5
5701;1645
5821;16BD
5933;172D
6036;1794
6131;17F3
6215;1847
6291;1893
6356;18D4
6412;190C
6457;1939
6492;195C
6517;1975
6530;1982
6534;1986
6527;197F
6509;196D
6480;1950
6441;1929
6392;18F8
6333;18BD
6264;1878
6185;1829
6096;17D0
5999;176F
5892;1704
5777;1691
5654;1616
5523;1593
5385;1509
5240;1478
5088;13E0
4931;1343
4768;12A0
4600;11F8
4428;114C
4252;109C
4073;FE9
3892;F34
3708;E7C
3523;DC3
3337;D09
3151;C4F
2965;B95
2780;ADC
2597;A25
2416;970
2238;8BE
2063;80F
1892;764
1725;6BD
1563;61B
1407;57F
1257;4E9
1114;45A
978;3D2
849;351
727;2D7
614;266
510;1FE
415;19F
329;149
252;FC
185;B9
128;80
82;52
46;2E
20;14
5;5
0;0
6;6
23;17
50;32
87;57
135;87
193;C1
261;105
339;153
426;1AA
523;20B
628;274
742;2E6
864;360
994;3E2
1132;46C
1276;4FC
1427;593
1583;62F
1746;6D2
1913;779
2084;824
2260;8D4
2438;986
2620;A3C
2803;AF3
2988;BAC
3174;C66
3360;D20
3546;DDA
3731;E93
3914;F4A
4096;1000
4274;10B2
4450;1162
4621;120D
4788;12B4
4951;1357
5107;13F3
5258;148A
5402;151A
5540;15A4
5670;1626
5792;16A0
5906;1712
6011;177B
6108;17DC
6195;1833
6273;1881
6341;18C5
6399;18FF
6447;192F
6484;1954
6511;196F
6528;1980
6534;1986
6529;1981
6514;1972
6488;1958
6452;1934
6406;1906
6349;18CD
6282;188A
6205;183D
6119;17E7
6024;1788
5920;1720
5807;16AF
5685;1635
5556;15B4
5420;152C
5277;149D
5127;1407
4971;136B
4809;12C9
4642;1222
4471;1177
4296;10C8
4118;1016
3937;F61
3754;EAA
3569;DF1
3383;D37
3197;C7D
3011;BC3
2826;B0A
2642;A52
2461;99D
2282;8EA
2106;83A
1934;78E
